epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1056.73,1.4048,0.67056,1.18611,0.92838,0.94315,0.97187,0.57788,1.43799,0.63536,1.24994,0.000643101,0.000643101,0.000643101
43,1081.65,1.40281,0.66123,1.17691,0.92186,0.93232,0.96588,0.57072,1.44239,0.6341,1.25226,0.000628101,0.000628101,0.000628101
44,1106.43,1.41764,0.68516,1.17879,0.92466,0.93909,0.96951,0.5771,1.45376,0.61207,1.25505,0.000612981,0.000612981,0.000612981
45,1131.38,1.40704,0.6505,1.17352,0.93757,0.92386,0.96764,0.57465,1.43677,0.61666,1.24993,0.000597754,0.000597754,0.000597754
46,1156.31,1.38573,0.6482,1.17669,0.91357,0.94792,0.96776,0.57527,1.43889,0.63398,1.25039,0.000582435,0.000582435,0.000582435
47,1181.16,1.3874,0.64898,1.16472,0.93264,0.93714,0.97256,0.57293,1.43884,0.62963,1.24659,0.00056704,0.00056704,0.00056704
48,1206.12,1.40095,0.65972,1.1817,0.92353,0.94007,0.96821,0.57939,1.43178,0.62291,1.24751,0.000551584,0.000551584,0.000551584
49,1230.97,1.36916,0.65254,1.15773,0.92553,0.92523,0.96794,0.57449,1.42755,0.63496,1.24332,0.000536081,0.000536081,0.000536081
50,1255.85,1.36547,0.64992,1.15632,0.93182,0.94585,0.96874,0.58085,1.43021,0.6261,1.24272,0.000520548,0.000520548,0.000520548
51,1280.85,1.38379,0.62303,1.17995,0.92286,0.94078,0.96786,0.5713,1.44781,0.63916,1.26154,0.000505,0.000505,0.000505
52,1305.79,1.39248,0.63733,1.1855,0.92723,0.94416,0.97007,0.58137,1.44458,0.6325,1.25082,0.000489452,0.000489452,0.000489452
53,1331.26,1.35766,0.63126,1.16164,0.93088,0.93433,0.96666,0.58008,1.42494,0.62326,1.23963,0.000473919,0.000473919,0.000473919
54,1356.5,1.35555,0.61951,1.15761,0.93437,0.93909,0.96881,0.58452,1.42656,0.6118,1.24059,0.000458416,0.000458416,0.000458416
55,1381.69,1.35042,0.63037,1.16902,0.92324,0.93621,0.96943,0.58655,1.40861,0.61105,1.23114,0.00044296,0.00044296,0.00044296
56,1406.97,1.35807,0.62531,1.1554,0.92329,0.93909,0.96675,0.57864,1.43078,0.62426,1.24081,0.000427565,0.000427565,0.000427565
57,1432.18,1.33649,0.60374,1.14927,0.92595,0.94755,0.97276,0.58467,1.419,0.62463,1.2309,0.000412246,0.000412246,0.000412246
58,1457.3,1.34308,0.63398,1.14589,0.9283,0.94203,0.96883,0.5883,1.41603,0.61189,1.22795,0.000397019,0.000397019,0.000397019
59,1482.55,1.34845,0.61532,1.14904,0.92211,0.94247,0.97065,0.5935,1.42016,0.59682,1.23659,0.000381899,0.000381899,0.000381899
60,1507.71,1.3379,0.5965,1.15627,0.94401,0.92724,0.96885,0.5919,1.41718,0.59377,1.2362,0.000366899,0.000366899,0.000366899
61,1532.75,1.32853,0.60063,1.16488,0.93626,0.93739,0.9672,0.58775,1.39839,0.61727,1.22973,0.000352037,0.000352037,0.000352037
62,1557.84,1.32552,0.60191,1.14799,0.93537,0.93063,0.96718,0.59001,1.4116,0.59802,1.23089,0.000337325,0.000337325,0.000337325
63,1583.01,1.31137,0.59,1.13196,0.93364,0.93739,0.96789,0.58667,1.42184,0.59591,1.237,0.000322778,0.000322778,0.000322778
64,1608.16,1.37358,0.6326,1.16417,0.93894,0.93669,0.96867,0.57867,1.44825,0.60393,1.25156,0.000308412,0.000308412,0.000308412
