epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,5014.92,1.40554,0.58848,0.00661,0.91702,0.90355,0.95183,0.42935,2.01739,0.61976,0.0098,0.000270253,0.000270253,0.000270253
43,5133.68,1.46902,0.615,0.00703,0.92326,0.93063,0.96602,0.49272,1.81816,0.60115,0.00853,0.000268838,0.000268838,0.000268838
44,5252.31,1.39649,0.60073,0.00657,0.90581,0.9438,0.96536,0.51019,1.75652,0.59519,0.00825,0.000267394,0.000267394,0.000267394
45,5370.84,1.39313,0.60081,0.0066,0.93667,0.93232,0.96874,0.52543,1.71836,0.50874,0.0079,0.000265921,0.000265921,0.000265921
46,5488.98,1.4006,0.5819,0.00653,0.92243,0.93063,0.96736,0.54673,1.648,0.51316,0.00752,0.00026442,0.00026442,0.00026442
47,5607.34,1.42168,0.57739,0.00678,0.94332,0.92929,0.96894,0.55023,1.64244,0.51301,0.0075,0.000262891,0.000262891,0.000262891
48,5725.3,1.38642,0.54054,0.00669,0.95016,0.93539,0.97053,0.51579,1.76907,0.5591,0.00822,0.000261335,0.000261335,0.000261335
49,5843.37,1.42913,0.58201,0.00679,0.91745,0.94023,0.96759,0.48731,1.83475,0.54409,0.0087,0.000259752,0.000259752,0.000259752
50,5961.58,1.37878,0.57589,0.00662,0.91923,0.94364,0.96581,0.53052,1.66001,0.5118,0.00755,0.000258142,0.000258142,0.000258142
51,6079.68,1.41251,0.56267,0.00664,0.95274,0.92095,0.97205,0.55493,1.61256,0.502,0.00735,0.000256505,0.000256505,0.000256505
52,6198.03,1.39777,0.54813,0.00655,0.94608,0.92893,0.96943,0.5366,1.70863,0.50729,0.00785,0.000254843,0.000254843,0.000254843
53,6316.58,1.42281,0.58993,0.00681,0.94202,0.92893,0.96571,0.47242,1.90365,0.54157,0.00907,0.000253155,0.000253155,0.000253155
54,6434.63,1.41608,0.57947,0.00677,0.94688,0.93508,0.96662,0.48831,1.83868,0.5203,0.00871,0.000251442,0.000251442,0.000251442
55,6553.31,1.44561,0.57481,0.00688,0.94928,0.9183,0.96737,0.47573,1.87846,0.55272,0.00903,0.000249705,0.000249705,0.000249705
56,6671.46,1.36728,0.52293,0.0064,0.94919,0.94416,0.97223,0.5539,1.63118,0.48713,0.00744,0.000247943,0.000247943,0.000247943
57,6789.75,1.37394,0.52696,0.0064,0.94971,0.93232,0.97265,0.57051,1.60009,0.47689,0.00725,0.000246157,0.000246157,0.000246157
58,6907.98,1.37401,0.54892,0.00657,0.93829,0.94755,0.97291,0.52388,1.71838,0.51168,0.00797,0.000244349,0.000244349,0.000244349
59,7026.41,1.35694,0.52963,0.00657,0.95268,0.92047,0.97279,0.5142,1.76299,0.52445,0.00833,0.000242517,0.000242517,0.000242517
60,7144.81,1.37538,0.56034,0.00653,0.94567,0.94247,0.97412,0.50499,1.78999,0.50093,0.00844,0.000240662,0.000240662,0.000240662
61,7263.48,1.38466,0.53732,0.00657,0.91287,0.93909,0.9664,0.51945,1.73726,0.52287,0.0081,0.000238786,0.000238786,0.000238786
62,7381.59,1.38546,0.55576,0.0065,0.93386,0.94078,0.96903,0.46976,1.88866,0.53889,0.00906,0.000236888,0.000236888,0.000236888
63,7499.57,1.3937,0.55606,0.00657,0.93468,0.9443,0.97493,0.551,1.63241,0.48719,0.00744,0.000234969,0.000234969,0.000234969
64,7617.92,1.43925,0.62469,0.00693,0.95337,0.93909,0.97363,0.56457,1.59519,0.4866,0.0072,0.00023303,0.00023303,0.00023303
65,7736.27,1.39095,0.52559,0.00663,0.94357,0.93739,0.96989,0.51139,1.77042,0.529,0.00831,0.00023107,0.00023107,0.00023107
66,7854.91,1.37342,0.58719,0.00621,0.9433,0.9357,0.97304,0.52623,1.71409,0.49158,0.00789,0.000229091,0.000229091,0.000229091
67,7973.51,1.37083,0.56671,0.0065,0.93802,0.94924,0.97144,0.52276,1.72903,0.50551,0.00803,0.000227093,0.000227093,0.000227093
68,8091.76,1.41161,0.5394,0.00653,0.92362,0.93232,0.96826,0.53587,1.6549,0.52038,0.00759,0.000225076,0.000225076,0.000225076
69,8209.99,1.3548,0.54568,0.00645,0.93815,0.92397,0.96096,0.52051,1.70655,0.53072,0.00789,0.00022304,0.00022304,0.00022304
70,8328.31,1.39107,0.57399,0.00664,0.923,0.95323,0.96654,0.53057,1.67699,0.52873,0.00779,0.000220988,0.000220988,0.000220988
71,8446.37,1.34463,0.53427,0.00621,0.93245,0.93434,0.96382,0.44692,1.95772,0.59042,0.00947,0.000218918,0.000218918,0.000218918
72,8564.87,1.33691,0.58669,0.00634,0.94945,0.92168,0.96721,0.5315,1.66692,0.51361,0.00766,0.000216831,0.000216831,0.000216831
73,8683.99,1.33848,0.54678,0.00636,0.93771,0.94247,0.97075,0.54078,1.67108,0.49511,0.00768,0.000214728,0.000214728,0.000214728
74,8802.22,1.33012,0.52555,0.00611,0.93282,0.94078,0.96795,0.53905,1.64223,0.50419,0.0075,0.00021261,0.00021261,0.00021261
75,8920.97,1.34082,0.56723,0.00639,0.92547,0.94552,0.96872,0.49034,1.79139,0.5599,0.00843,0.000210476,0.000210476,0.000210476
76,9039.89,1.35798,0.54511,0.00632,0.91787,0.93739,0.96565,0.49726,1.79136,0.57284,0.00841,0.000208328,0.000208328,0.000208328
77,9158.4,1.34538,0.56676,0.00634,0.94003,0.94924,0.97439,0.54008,1.65941,0.50703,0.00765,0.000206166,0.000206166,0.000206166
78,9277.12,1.35239,0.55262,0.00643,0.94325,0.92817,0.96869,0.5315,1.69258,0.51359,0.00782,0.000203991,0.000203991,0.000203991
79,9395.89,1.3372,0.51692,0.00631,0.92593,0.9519,0.97392,0.54144,1.68569,0.49869,0.00782,0.000201803,0.000201803,0.000201803
80,9514.35,1.31008,0.52348,0.00632,0.95526,0.93063,0.97469,0.51604,1.74554,0.52258,0.00821,0.000199602,0.000199602,0.000199602
81,9633.15,1.33832,0.54907,0.00613,0.94525,0.94247,0.97462,0.53443,1.69476,0.50828,0.00792,0.000197389,0.000197389,0.000197389
82,9752.47,1.34674,0.5394,0.00635,0.92348,0.9357,0.96294,0.50042,1.7614,0.5614,0.00819,0.000195165,0.000195165,0.000195165
83,9871.35,1.36027,0.56054,0.00644,0.94304,0.92448,0.96519,0.471,1.89416,0.57815,0.0091,0.00019293,0.00019293,0.00019293
84,9990.01,1.36307,0.55409,0.00653,0.93838,0.92765,0.97126,0.55513,1.62313,0.5022,0.00736,0.000190685,0.000190685,0.000190685
85,10108.9,1.32261,0.54795,0.00625,0.92982,0.94157,0.97027,0.49551,1.79275,0.54838,0.00845,0.00018843,0.00018843,0.00018843
86,10227.9,1.33329,0.55013,0.00614,0.93584,0.9357,0.96687,0.49599,1.78888,0.53095,0.0085,0.000186167,0.000186167,0.000186167
87,10346.8,1.33981,0.53943,0.00627,0.94023,0.93232,0.96,0.44043,1.96321,0.59588,0.00961,0.000183894,0.000183894,0.000183894
88,10465.5,1.33037,0.57017,0.00625,0.92708,0.94652,0.97375,0.50789,1.77508,0.50621,0.00832,0.000181614,0.000181614,0.000181614
89,10584.1,1.30454,0.536,0.00608,0.94765,0.91887,0.97105,0.53397,1.71067,0.50559,0.00795,0.000179326,0.000179326,0.000179326
90,10704.9,1.32507,0.54738,0.00623,0.92508,0.9357,0.96885,0.51595,1.75215,0.52226,0.00826,0.000177031,0.000177031,0.000177031
91,10827.6,1.28538,0.52034,0.00611,0.94195,0.93349,0.96737,0.49055,1.83403,0.55085,0.00864,0.000174731,0.000174731,0.000174731
92,10949.1,1.35427,0.52644,0.00633,0.94063,0.93909,0.96918,0.49677,1.79931,0.52577,0.00851,0.000172424,0.000172424,0.000172424
93,11070,1.31585,0.54782,0.00635,0.96814,0.92565,0.97533,0.51705,1.7505,0.5133,0.00818,0.000170112,0.000170112,0.000170112
94,11194.4,1.31269,0.53443,0.00612,0.92116,0.93739,0.96044,0.49416,1.78748,0.51425,0.00846,0.000167796,0.000167796,0.000167796
95,11318.1,1.32908,0.50971,0.0063,0.92122,0.94977,0.96775,0.5077,1.77763,0.52798,0.00838,0.000165475,0.000165475,0.000165475
96,11441,1.31995,0.52522,0.00628,0.95671,0.93481,0.97349,0.53077,1.72394,0.49843,0.00805,0.000163151,0.000163151,0.000163151
97,11562.2,1.31384,0.53626,0.00614,0.95323,0.93121,0.97623,0.5302,1.70853,0.51555,0.00798,0.000160824,0.000160824,0.000160824
98,11683,1.333,0.55658,0.00615,0.95338,0.91032,0.96756,0.48924,1.83699,0.54408,0.00863,0.000158495,0.000158495,0.000158495
99,11807.6,1.30161,0.50233,0.00615,0.94054,0.93669,0.96986,0.48814,1.82214,0.53511,0.00853,0.000156164,0.000156164,0.000156164
100,11928.7,1.32027,0.51726,0.00619,0.93469,0.94439,0.97041,0.52361,1.72441,0.52855,0.00805,0.000153833,0.000153833,0.000153833
101,12049.4,1.30866,0.52047,0.00606,0.9504,0.94024,0.97514,0.52371,1.74274,0.54233,0.0081,0.0001515,0.0001515,0.0001515
102,12169.9,1.27178,0.49162,0.00601,0.93877,0.93386,0.97274,0.53452,1.70013,0.50701,0.00789,0.000149167,0.000149167,0.000149167
103,12290.3,1.27657,0.50295,0.00602,0.95161,0.92217,0.97051,0.51416,1.73518,0.52755,0.00803,0.000146836,0.000146836,0.000146836
104,12411,1.30411,0.52778,0.0061,0.94446,0.9357,0.96796,0.52345,1.70369,0.52385,0.00793,0.000144505,0.000144505,0.000144505
105,12531.7,1.3231,0.55135,0.00605,0.95102,0.91993,0.96199,0.52099,1.73666,0.52053,0.00807,0.000142176,0.000142176,0.000142176
106,12656.3,1.29406,0.51217,0.0061,0.95339,0.9357,0.97526,0.52857,1.72604,0.51904,0.00805,0.000139849,0.000139849,0.000139849
107,12779.2,1.24871,0.4924,0.00589,0.94332,0.94247,0.97573,0.55842,1.63686,0.48969,0.00751,0.000137525,0.000137525,0.000137525
