epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2744.02,1.51296,0.76185,1.30376,0.93075,0.92217,0.96012,0.50255,1.67145,0.68492,1.36914,0.000900844,0.000900844,0.000900844
43,2809.15,1.51153,0.73024,1.30784,0.9146,0.93909,0.96838,0.54883,1.5264,0.70288,1.297,0.000896127,0.000896127,0.000896127
44,2874.3,1.54618,0.79545,1.33417,0.89773,0.95262,0.9664,0.49464,1.71849,0.69226,1.39989,0.000891313,0.000891313,0.000891313
45,2939.35,1.50221,0.7258,1.30859,0.92855,0.94554,0.96634,0.53293,1.58668,0.67278,1.32496,0.000886404,0.000886404,0.000886404
46,3004.43,1.51201,0.74388,1.30291,0.92953,0.93738,0.96674,0.5131,1.66281,0.69431,1.3584,0.000881401,0.000881401,0.000881401
47,3069.88,1.53787,0.74175,1.31195,0.91287,0.93063,0.96675,0.51491,1.69238,0.68476,1.38904,0.000876305,0.000876305,0.000876305
48,3135.4,1.51992,0.75457,1.31767,0.89595,0.92047,0.96222,0.4988,1.68193,0.71301,1.3756,0.000871117,0.000871117,0.000871117
49,3200.5,1.54098,0.75376,1.32852,0.91281,0.95657,0.97246,0.51987,1.61712,0.66725,1.33123,0.000865839,0.000865839,0.000865839
50,3265.3,1.50604,0.74842,1.32035,0.90784,0.94247,0.96579,0.52306,1.62929,0.67012,1.34126,0.000860473,0.000860473,0.000860473
51,3330.18,1.49506,0.74579,1.28384,0.91284,0.93909,0.95995,0.5187,1.62688,0.68759,1.34207,0.000855018,0.000855018,0.000855018
52,3394.44,1.49707,0.72243,1.29801,0.92239,0.925,0.96797,0.5125,1.68339,0.66114,1.36337,0.000849477,0.000849477,0.000849477
53,3458.7,1.5078,0.75822,1.29927,0.90045,0.9489,0.96408,0.51567,1.60852,0.72295,1.33552,0.000843851,0.000843851,0.000843851
54,3522.92,1.49122,0.73054,1.304,0.9301,0.89679,0.95693,0.45104,1.85392,0.71116,1.47274,0.000838141,0.000838141,0.000838141
55,3587.44,1.50678,0.73484,1.30456,0.93555,0.92555,0.96976,0.49801,1.71014,0.71111,1.38179,0.000832349,0.000832349,0.000832349
56,3652.02,1.48409,0.70668,1.28021,0.90585,0.94423,0.97083,0.528,1.60996,0.64248,1.34443,0.000826477,0.000826477,0.000826477
57,3716.64,1.4728,0.69697,1.29246,0.94263,0.93063,0.97224,0.55364,1.53884,0.6246,1.30076,0.000820525,0.000820525,0.000820525
58,3781.7,1.49875,0.73961,1.29768,0.93887,0.9355,0.96667,0.50581,1.69242,0.66879,1.37272,0.000814495,0.000814495,0.000814495
59,3846.4,1.50231,0.72479,1.30163,0.93832,0.9267,0.96905,0.50728,1.67782,0.66731,1.36985,0.000808389,0.000808389,0.000808389
60,3911.08,1.48213,0.70632,1.29075,0.92439,0.92893,0.97171,0.5296,1.59026,0.65147,1.32693,0.000802208,0.000802208,0.000802208
61,3976.62,1.49416,0.70774,1.2899,0.9232,0.9356,0.96996,0.52308,1.67268,0.65445,1.358,0.000795954,0.000795954,0.000795954
62,4041.95,1.51097,0.72704,1.31121,0.93125,0.92893,0.9613,0.45535,1.85166,0.70553,1.45385,0.000789628,0.000789628,0.000789628
63,4107.28,1.48006,0.68506,1.29467,0.92606,0.95093,0.97046,0.51846,1.62068,0.64441,1.34085,0.000783231,0.000783231,0.000783231
64,4172.68,1.54212,0.73214,1.3268,0.92033,0.94755,0.97207,0.49936,1.71254,0.65967,1.3863,0.000776766,0.000776766,0.000776766
65,4237.96,1.48146,0.67137,1.28786,0.92624,0.94078,0.9741,0.52877,1.61099,0.65487,1.33196,0.000770234,0.000770234,0.000770234
66,4302.98,1.51723,0.71137,1.28733,0.91029,0.9443,0.97146,0.53024,1.60966,0.63958,1.32559,0.000763637,0.000763637,0.000763637
67,4367.89,1.46554,0.6957,1.28315,0.91964,0.93232,0.96745,0.53982,1.58379,0.64386,1.32486,0.000756976,0.000756976,0.000756976
68,4433.06,1.50978,0.72215,1.30535,0.92955,0.93761,0.97424,0.5489,1.54562,0.62411,1.30734,0.000750252,0.000750252,0.000750252
69,4498.15,1.48665,0.69477,1.29672,0.91945,0.93063,0.9731,0.53775,1.55877,0.64613,1.30902,0.000743468,0.000743468,0.000743468
