epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.5688,1.71227,1.24907,1.36194,0.87084,0.89509,0.93607,0.48216,1.59225,0.91213,1.35056,0.0671542,0.000331776,0.000331776
2,51.8234,1.67895,0.98836,1.33808,0.87913,0.91072,0.9304,0.47011,1.6018,0.92948,1.35635,0.034154,0.000664947,0.000664947
3,77.0589,1.64804,0.95812,1.31676,0.87668,0.8781,0.92982,0.48986,1.60437,0.8842,1.35009,0.00115323,0.000997467,0.000997467
4,102.206,1.60053,0.88857,1.30194,0.89301,0.90355,0.95097,0.51944,1.56551,0.8226,1.33478,0.000997803,0.000997803,0.000997803
5,127.656,1.58801,0.86071,1.28652,0.90478,0.90037,0.95385,0.51866,1.52186,0.80946,1.30711,0.000996097,0.000996097,0.000996097
6,153.755,1.56194,0.84096,1.26959,0.86579,0.92778,0.93821,0.51525,1.54174,0.80259,1.32188,0.000993906,0.000993906,0.000993906
7,178.588,1.58021,0.85433,1.2881,0.88071,0.92555,0.95332,0.51046,1.60427,0.78611,1.35108,0.000991232,0.000991232,0.000991232
8,203.871,1.58296,0.83325,1.29727,0.92195,0.88156,0.95238,0.5307,1.52733,0.7483,1.30001,0.000988079,0.000988079,0.000988079
9,229.259,1.54929,0.79069,1.26069,0.90894,0.92555,0.95643,0.5257,1.54276,0.74297,1.31009,0.000984449,0.000984449,0.000984449
10,254.317,1.54179,0.8174,1.24487,0.89647,0.89376,0.95243,0.53301,1.51434,0.79994,1.30104,0.000980345,0.000980345,0.000980345
11,279.227,1.54684,0.80627,1.24384,0.89008,0.92724,0.95412,0.53484,1.50545,0.75483,1.29085,0.000975773,0.000975773,0.000975773
12,304.824,1.53166,0.7576,1.24855,0.92916,0.9099,0.96582,0.53118,1.52878,0.72151,1.31058,0.000970736,0.000970736,0.000970736
13,330.159,1.52704,0.79039,1.24544,0.90367,0.93401,0.96151,0.55161,1.4835,0.71277,1.29104,0.000965239,0.000965239,0.000965239
14,355.61,1.53708,0.78053,1.24917,0.91839,0.91709,0.9651,0.54548,1.50737,0.70489,1.29091,0.000959289,0.000959289,0.000959289
15,381.107,1.53005,0.77205,1.24864,0.91435,0.92127,0.96008,0.54589,1.50582,0.71276,1.28701,0.000952889,0.000952889,0.000952889
16,406.468,1.49222,0.73735,1.23653,0.90412,0.94078,0.96541,0.54835,1.47384,0.72489,1.27285,0.000946048,0.000946048,0.000946048
17,431.762,1.49132,0.74048,1.22595,0.91613,0.9057,0.959,0.53865,1.51455,0.71568,1.30117,0.000938772,0.000938772,0.000938772
18,456.96,1.48439,0.76496,1.23113,0.9039,0.9231,0.95828,0.53933,1.52404,0.72987,1.3095,0.000931067,0.000931067,0.000931067
