epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.1351,1.71227,1.24907,1.36194,0.87084,0.89509,0.93607,0.48216,1.59225,0.91213,1.35056,0.0671542,0.000331776,0.000331776
2,53.1886,1.67895,0.98836,1.33808,0.87913,0.91072,0.9304,0.47011,1.6018,0.92948,1.35635,0.034154,0.000664947,0.000664947
3,78.9165,1.64804,0.95812,1.31676,0.87668,0.8781,0.92982,0.48986,1.60437,0.8842,1.35009,0.00115323,0.000997467,0.000997467
4,104.684,1.60053,0.88857,1.30194,0.89301,0.90355,0.95097,0.51944,1.56551,0.8226,1.33478,0.000997803,0.000997803,0.000997803
5,130.98,1.58801,0.86071,1.28652,0.90478,0.90037,0.95385,0.51866,1.52186,0.80946,1.30711,0.000996097,0.000996097,0.000996097
6,157.303,1.56194,0.84096,1.26959,0.86579,0.92778,0.93821,0.51525,1.54174,0.80259,1.32188,0.000993906,0.000993906,0.000993906
7,183.835,1.58021,0.85433,1.2881,0.88071,0.92555,0.95332,0.51046,1.60427,0.78611,1.35108,0.000991232,0.000991232,0.000991232
8,210.729,1.58296,0.83325,1.29727,0.92195,0.88156,0.95238,0.5307,1.52733,0.7483,1.30001,0.000988079,0.000988079,0.000988079
9,237.676,1.54929,0.79069,1.26069,0.90894,0.92555,0.95643,0.5257,1.54276,0.74297,1.31009,0.000984449,0.000984449,0.000984449
10,296.912,1.54179,0.8174,1.24487,0.89647,0.89376,0.95243,0.53301,1.51434,0.79994,1.30104,0.000980345,0.000980345,0.000980345
